"","_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
"18",2394471,"4155295","2017",NA,"1927","PRIVATE","03","Etobicoke-Lakeshore","2651 BLOOR ST W","4","34","2022-12-30","74","Evaluation needs to be conducted in 2 years","17","3","4","5","3","2","4","N/A","4","N/A","3","3","4","5","4","3","5","4","4","3","N/A","W0327","43.649230274","-79.495336571","305160.274","4834143.367"
"19",2394472,"4155294","2017",NA,"1940","PRIVATE","03","Etobicoke-Lakeshore","2655 BLOOR ST W","5","45","2022-12-30","79","Evaluation needs to be conducted in 2 years","17","4","4","5","4","3","2","N/A","4","N/A","4","3","5","5","4","5","4","4","4","3","N/A","W0327","43.6494614357","-79.495683937","305101.599","4834184.139"
"20",2394473,"4155477","2017",NA,"1958","PRIVATE","03","Etobicoke-Lakeshore","2355 LAKE SHORE BLVD W","4","86","2022-12-30","69","Evaluation needs to be conducted in 2 years","17","4","4","4","2","2","2","N/A","3","4","N/A","3","4","3","3","4","4","5","4","4","N/A","W0336","43.616065741","-79.4876962773","305777.4","4830458.074"
"21",2394474,"4155476","2017",NA,"1960","PRIVATE","03","Etobicoke-Lakeshore","2361 LAKE SHORE BLVD W","4","47","2022-12-30","82","Evaluation needs to be conducted in 2 years","17","4","5","5","4","3","4","N/A","3","5","N/A","4","5","3","4","5","4","4","3","5","N/A","W0336","43.6158682454","-79.4878084713","305768.347","4830436.132"
"22",2394475,"4155475","2017",NA,"1959","PRIVATE","03","Etobicoke-Lakeshore","2369 LAKE SHORE BLVD W","4","87","2022-12-30","74","Evaluation needs to be conducted in 2 years","17","3","3","5","3","4","4","N/A","3","5","N/A","3","4","4","4","3","3","4","3","5","N/A","W0336","43.615736635","-79.4878821357","305762.403","4830421.51"
"23",2394476,"4155474","2017",NA,"1970","PRIVATE","03","Etobicoke-Lakeshore","2377 LAKE SHORE BLVD W","4","23","2022-12-30","72","Evaluation needs to be conducted in 2 years","18","4","3","5","4","4","2","N/A","3","3","3","3","3","5","3","5","3","4","4","4","N/A","W0336","43.6154404667","-79.4878892475","305761.833","4830388.607"
"24",2394477,"4154231","2017",NA,"1970","PRIVATE","07","Humber River-Black Creek","2940 JANE ST","13","153","2022-12-30","82","Evaluation needs to be conducted in 2 years","18","5","4","5","4","5","4","4","3","4","N/A","4","3","5","4","4","4","4","4","4","N/A","W0729","43.753728376","-79.5177880102","303352.137","4845751.71"
"25",2394478,"4154233","2017",NA,"1970","PRIVATE","07","Humber River-Black Creek","2970 JANE ST","14","164","2022-12-30","86","Evaluation needs to be conducted in 3 years","18","5","4","5","4","5","4","4","4","4","N/A","4","5","5","4","4","4","4","4","4","N/A","W0729","43.7553825332","-79.5178201808","303349.587","4845935.472"
"26",2394479,"4155488","2017",NA,"1955","PRIVATE","03","Etobicoke-Lakeshore","2532 LAKE SHORE BLVD W","4","46","2022-12-30","75","Evaluation needs to be conducted in 2 years","15","5","4","5","3","3","2","N/A","4","N/A","N/A","3","4","4","5","3","4","N/A","4","3","N/A","W0336","43.6109821847","-79.4903809388","305560.767","4829893.29"
"27",2394480,"4155494","2017",NA,"1952","PRIVATE","03","Etobicoke-Lakeshore","2547 LAKE SHORE BLVD W","4","26","2022-12-30","78","Evaluation needs to be conducted in 2 years","16","4","4","4","4","3","3","N/A","4","N/A","4","4","5","5","3","5","3","N/A","4","3","N/A","W0336","43.609303547","-79.4892009672","305656.036","4829706.813"
