"","_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
"1344",2395797,"4154759","2017",NA,"1974","PRIVATE","16","Don Valley East","65 WYNFORD HEIGHTS CRES","21","327","2022-10-19","89","Evaluation needs to be conducted in 3 years","20","4","5","5","5","5","4","4","4","4","5","4","4","5","4","5","4","5","4","4","5","N1629","43.7283181853","-79.3241417766","318952.217","4842943.589"
"1345",2395798,"4154758","2017",NA,"1969","PRIVATE","16","Don Valley East","55 WYNFORD HEIGHTS CRES","21","344","2022-10-19","87","Evaluation needs to be conducted in 3 years","20","4","5","5","4","5","4","4","5","4","4","4","5","5","4","4","4","5","4","3","5","N1629","43.7273105049","-79.3250508572","318879.214","4842831.486"
"1346",2395799,"4152836","2017",NA,"1979","PRIVATE","24","Scarborough-Guildwood","30 LIVONIA PL","13","200","2022-10-19","98","Evaluation needs to be conducted in 3 years","18","5","5","5","5","5","5","4","5","5","N/A","5","5","5","5","5","5","5","4","5","N/A","E2423","43.786028954","-79.204498435","328567.963","4849383.17"
"1347",2395800,"4154826","2017",NA,"1965","PRIVATE","17","Don Valley North","34 LEITH HILL RD","11","231","2022-10-19","89","Evaluation needs to be conducted in 3 years","20","4","4","5","4","5","5","5","4","4","4","5","5","5","5","5","4","5","4","3","4","N1727","43.7777340882","-79.3489814239","316941.141","4848429.475"
"1348",2395801,"4154756","2017",NA,"1976","PRIVATE","16","Don Valley East","35 WYNFORD HEIGHTS CRES","25","217","2022-10-19","86","Evaluation needs to be conducted in 3 years","20","4","5","5","3","4","4","4","4","4","3","4","5","5","5","5","4","5","4","4","5","N1629","43.7263188872","-79.326226049","318784.766","4842721.124"
"1349",2395802,"4153571","2018",NA,"1969","PRIVATE","13","Toronto Centre","210 OAK ST","17","260","2022-10-19","46","Building Audit","17","2","2","3","2","3","3","2","2","2","N/A","1","1","3","3","2","3","3","2","N/A","N/A","S1330","43.663368073","-79.358462264","316209.596","4835679.79"
"1350",2395803,"4156468","2017",NA,"1972","TCHC","20","Scarborough Southwest","10 GORDONRIDGE PL","16","217","2022-10-19","86","Evaluation needs to be conducted in 3 years","18","4","3","5","4","5","5","4","5","5","N/A","3","5","3","4","4","5","5","4","4","N/A","E2024","43.726954137","-79.252290284","324713.921","4842838.544"
"1351",2395804,"4154642","2017",NA,"1969","PRIVATE","06","York Centre","4 GOLDFINCH CRT","12","95","2022-10-19","69","Evaluation needs to be conducted in 2 years","20","3","3","5","3","3","4","4","4","4","3","2","4","5","3","3","3","2","4","4","3","N0624","43.7701314471","-79.4494799439","308851.855","4847575.071"
"1352",2395805,"4154641","2017",NA,"1969","PRIVATE","06","York Centre","12 GOLDFINCH CRT","12","143","2022-10-19","71","Evaluation needs to be conducted in 2 years","19","3","4","5","3","3","3","4","4","4","4","3","3","5","3","3","3","3","4","3","N/A","N0624","43.7709438668","-79.4509600239","308732.646","4847665.256"
"1353",2395806,"4153671","2017",NA,"1970","PRIVATE","19","Beaches-East York","2 KINGSTON RD","4","16","2022-10-19","80","Evaluation needs to be conducted in 2 years","15","5","5","4","3","4","4","N/A","4","N/A","N/A","3","5","5","3","4","4","N/A","3","4","N/A","S1937","43.667724652","-79.31265581","319889.941","4836214.615"
"1354",2395807,"4154639","2017",NA,"1969","PRIVATE","06","York Centre","601 FINCH AVE W","14","170","2022-10-19","71","Evaluation needs to be conducted in 2 years","19","4","3","5","2","3","3","3","4","3","4","3","3","5","4","3","3","5","4","3","N/A","N0624","43.770708386","-79.45171713","308671.446","4847640.014"
"1355",2395808,"4154775","2017",NA,"1950","PRIVATE","16","Don Valley East","1053 DON MILLS RD","4","40","2022-10-19","76","Evaluation needs to be conducted in 2 years","19","3","4","5","4","3","4","3","4","4","3","4","5","4","3","4","3","5","3","4","N/A","N1627","43.7335260721","-79.3417293188","317534.2","4843519.24"
"1356",2395809,"4154742","2017",NA,"1972","PRIVATE","15","Don Valley West","745 YORK MILLS RD","18","138","2022-10-19","84","Evaluation needs to be conducted in 2 years","20","4","5","5","3","4","3","4","4","4","4","4","5","5","4","4","5","4","4","4","5","N1524","43.752346265","-79.361904373","315905.269","4845608.147"
"1357",2395810,"4155015","2017",NA,"1952","PRIVATE","09","Davenport","355 WESTMOUNT AVE","3","29","2022-10-19","79","Evaluation needs to be conducted in 2 years","15","3","4","5","4","4","3","N/A","4","N/A","N/A","4","4","5","4","3","4","N/A","4","4","N/A","S0925","43.684753041","-79.44430348","309270.037","4838105.654"
"1358",2395811,"4155019","2017",NA,"1950","PRIVATE","09","Davenport","370 WESTMOUNT AVE","3","29","2022-10-19","71","Evaluation needs to be conducted in 2 years","15","4","3","5","3","3","4","N/A","3","N/A","N/A","3","3","5","3","3","4","N/A","4","3","N/A","S0925","43.6852037341","-79.4451995496","309202.478","4838140.205"
"1359",2395812,"4155017","2017",NA,"1953","PRIVATE","09","Davenport","375 WESTMOUNT AVE","3","30","2022-10-19","88","Evaluation needs to be conducted in 3 years","15","4","4","5","4","4","5","N/A","5","N/A","N/A","4","4","5","4","5","5","N/A","4","4","N/A","S0925","43.6853681994","-79.4445572925","309254.249","4838158.509"
"1360",2395813,"4153679","2017",NA,"1954","PRIVATE","19","Beaches-East York","140 KINGSTON RD","4","60","2022-10-19","92","Evaluation needs to be conducted in 3 years","15","4","5","5","4","4","5","N/A","4","N/A","N/A","5","5","5","5","4","4","N/A","5","5","N/A","S1937","43.6709421277","-79.3114896572","319985.941","4836571.526"
"1361",2395814,"4153676","2017",NA,"1934","PRIVATE","19","Beaches-East York","204 KINGSTON RD","3","15","2022-10-19","93","Evaluation needs to be conducted in 3 years","16","5","5","5","4","4","4","N/A","5","N/A","4","5","5","5","4","4","5","N/A","5","5","N/A","S1937","43.6722400679","-79.3102957191","320081.891","4836715.941"
"1362",2395815,"4153900","2017",NA,"1957","PRIVATE","12","Toronto-St. Paul's","340 LONSDALE RD","6","36","2022-10-18","90","Evaluation needs to be conducted in 3 years","18","4","4","5","5","5","3","N/A","5","5","5","5","5","5","4","5","4","4","4","4","N/A","S1230","43.6887295073","-79.4136144798","311748.58","4838534.089"
"1363",2395816,"4153906","2017",NA,"1930","PRIVATE","12","Toronto-St. Paul's","323 LONSDALE RD","4","20","2022-10-18","100","Evaluation needs to be conducted in 3 years","14","5","5","5","5","5","5","N/A","5","N/A","N/A","5","5","5","5","5","5","N/A","5","N/A","N/A","S1231","43.6885521367","-79.4119584322","311882.118","4838514.529"
"1364",2395817,"4153907","2017",NA,"1920","PRIVATE","12","Toronto-St. Paul's","321 LONSDALE RD","5","12","2022-10-18","91","Evaluation needs to be conducted in 3 years","16","5","4","5","5","5","5","N/A","4","N/A","N/A","4","5","5","4","5","5","4","4","4","N/A","S1231","43.6886182692","-79.4117661869","311897.61","4838521.893"
"1365",2395818,"4153904","2017",NA,"1923","PRIVATE","12","Toronto-St. Paul's","320 LONSDALE RD","4","32","2022-10-18","76","Evaluation needs to be conducted in 2 years","14","4","4","5","3","3","4","N/A","4","N/A","N/A","3","4","5","3","3","4","N/A","4","N/A","N/A","S1231","43.6890609911","-79.4120929663","311871.215","4838571.051"
"1366",2395819,"4153903","2017",NA,"1923","PRIVATE","12","Toronto-St. Paul's","316 LONSDALE RD","4","10","2022-10-18","84","Evaluation needs to be conducted in 2 years","15","5","4","5","4","4","5","N/A","4","N/A","N/A","4","4","5","4","4","4","N/A","4","3","N/A","S1231","43.6890629777","-79.4118183457","311893.356","4838571.296"
"1367",2395820,"4153909","2017",NA,"1955","PRIVATE","12","Toronto-St. Paul's","606 AVENUE RD","11","62","2022-10-18","90","Evaluation needs to be conducted in 3 years","18","4","4","5","5","5","4","N/A","5","5","5","4","5","5","4","5","5","4","4","3","N/A","S1231","43.6896239325","-79.4033213514","312578.299","4838634.362"
"1368",2395821,"4153910","2017",NA,"1955","PRIVATE","12","Toronto-St. Paul's","585 AVENUE RD","11","57","2022-10-18","86","Evaluation needs to be conducted in 3 years","19","4","4","5","3","5","4","5","5","4","3","5","4","5","5","5","5","4","4","3","N/A","S1232","43.6892676418","-79.4019577858","312688.265","4838594.903"
"1369",2395822,"4153545","2017",NA,"1917","PRIVATE","13","Toronto Centre","96 ISABELLA ST","4","28","2022-10-18","60","Evaluation needs to be conducted in 1 year","14","2","3","4","2","2","4","N/A","3","N/A","N/A","2","2","4","4","3","3","N/A","4","N/A","N/A","S1322","43.668954869","-79.380480475","314422.606","4836341.446"
"1370",2395823,"4153886","2017",NA,"1956","PRIVATE","12","Toronto-St. Paul's","494 AVENUE RD","13","118","2022-10-18","96","Evaluation needs to be conducted in 3 years","19","5","5","5","4","4","5","5","5","5","5","4","5","5","5","5","5","5","4","5","N/A","S1231","43.687758523","-79.402478988","312646.179","4838428.152"
"1371",2395824,"4153887","2017",NA,"1957","PRIVATE","12","Toronto-St. Paul's","484 AVENUE RD","13","118","2022-10-18","95","Evaluation needs to be conducted in 3 years","19","5","5","5","4","4","5","5","5","4","5","5","4","5","5","5","5","5","4","5","N/A","S1231","43.687301393","-79.402324341","312658.704","4838377.38"
"1372",2395825,"4155380","2019",NA,"1970","PRIVATE","02","Etobicoke Centre","320 THE WEST MALL","3","17","2022-10-18","75","Evaluation needs to be conducted in 2 years","15","3","4","4","3","3","4","N/A","4","N/A","N/A","3","5","5","4","3","3","4","4","N/A","N/A","W0233","43.636889686","-79.5635303983","299658.366","4832773.299"
"1373",2395826,"4153956","2017",NA,"1963","PRIVATE","08","Eglinton-Lawrence","20 SHALLMAR BLVD","11","155","2022-10-18","93","Evaluation needs to be conducted in 3 years","19","5","5","5","4","5","4","5","4","5","4","5","5","5","4","5","5","5","4","4","N/A","N0832","43.704511738","-79.424723028","310851.235","4840287.547"
"1374",2395827,"4153567","2017",NA,"1985","TCHC","13","Toronto Centre","123 SACKVILLE ST","3","20","2022-10-18","56","Evaluation needs to be conducted in 1 year","16","2","2","4","2","3","3","2","3","N/A","N/A","2","2","4","3","3","4","2","4","N/A","N/A","S1330","43.6570898108","-79.3615276679","315953.471","4835024.718"
"1375",2395828,"4153972","2017",NA,"1967","PRIVATE","08","Eglinton-Lawrence","655 BRIAR HILL AVE","4","36","2022-10-18","84","Evaluation needs to be conducted in 2 years","18","4","5","5","4","5","4","N/A","4","5","4","4","4","5","3","5","4","4","3","4","N/A","N0832","43.7075770778","-79.4274046022","310635.081","4840626.937"
"1376",2395829,"4153883","2017",NA,"1957","PRIVATE","12","Toronto-St. Paul's","561 AVENUE RD","14","60","2022-10-18","95","Evaluation needs to be conducted in 3 years","20","5","5","5","4","5","3","5","5","5","5","5","4","5","5","5","5","5","4","5","5","S1232","43.687842496","-79.401374105","312735.24","4838437.581"
"1377",2395830,"4153540","2017",NA,"2016","PRIVATE","13","Toronto Centre","66 ISABELLA ST","23","411","2022-10-18","87","Evaluation needs to be conducted in 3 years","19","5","5","5","3","4","4","4","4","5","N/A","4","4","5","4","4","5","5","5","4","4","S1322",NA,NA,"314228.321","4836286.651"
"1378",2395831,"4153548","2017",NA,"1973","PRIVATE","13","Toronto Centre","77 HUNTLEY ST","29","561","2022-10-18","91","Evaluation needs to be conducted in 3 years","19","5","5","5","4","4","5","4","3","5","5","4","5","5","4","3","5","5","5","N/A","5","S1322","43.671614503","-79.378728034","314563.492","4836637.12"
"1379",2395832,"4153691","2017",NA,"1920","PRIVATE","19","Beaches-East York","441 KINGSTON RD","3","15","2022-10-18","93","Evaluation needs to be conducted in 3 years","15","5","5","5","4","4","4","N/A","5","N/A","N/A","5","5","5","5","5","4","N/A","5","4","N/A","S1938","43.6767157275","-79.303971101","320590.73","4837214.351"
"1380",2395833,"4153932","2017",NA,"1957","PRIVATE","12","Toronto-St. Paul's","25 LASCELLES BLVD","17","235","2022-10-17","88","Evaluation needs to be conducted in 3 years","19","5","5","5","4","5","4","4","5","5","4","5","4","5","4","5","4","5","4","2","N/A","S1232","43.69593604","-79.399287445","312902.346","4839336.972"
"1381",2395834,"4153959","2017",NA,"1960","PRIVATE","08","Eglinton-Lawrence","11 SHALLMAR BLVD","7","78","2022-10-17","83","Evaluation needs to be conducted in 2 years","19","4","5","4","3","5","4","5","4","5","3","4","4","5","4","4","4","4","4","4","N/A","N0832","43.703726864","-79.423164634","310976.913","4840200.458"
"1382",2395835,"4153940","2017",NA,"1954","PRIVATE","12","Toronto-St. Paul's","555 RUSSELL HILL RD","5","32","2022-10-17","83","Evaluation needs to be conducted in 2 years","18","5","4","5","4","4","3","N/A","4","5","5","4","5","5","2","5","3","4","4","4","N/A","S1226","43.7029404045","-79.4151517899","311623.075","4840112.767"
"1383",2395836,"4153941","2017",NA,"1937","PRIVATE","12","Toronto-St. Paul's","540 RUSSELL HILL RD","5","32","2022-10-17","81","Evaluation needs to be conducted in 2 years","18","5","4","5","4","4","3","N/A","4","3","4","5","4","5","2","5","3","5","4","4","N/A","S1226","43.7028383782","-79.4156643118","311581.779","4840101.39"
"1384",2395837,"4156386","2017",NA,"1967","PRIVATE","16","Don Valley East","15 BROOKBANKS DR","20","148","2022-10-17","95","Evaluation needs to be conducted in 3 years","19","5","5","5","5","5","5","5","5","4","N/A","5","4","5","5","5","5","5","4","4","4","N1625","43.7517314","-79.331966044","318300.445","4845575.868"
"1385",2395838,"4153958","2017",NA,"1962","PRIVATE","08","Eglinton-Lawrence","15 SHALLMAR BLVD","7","78","2022-10-17","79","Evaluation needs to be conducted in 2 years","19","4","4","3","3","4","3","4","4","5","4","4","4","5","4","4","4","4","4","4","N/A","N0832","43.703946444","-79.424475355","310871.253","4840224.76"
"1386",2395839,"4155213","2017",NA,"1957","PRIVATE","03","Etobicoke-Lakeshore","2696 BLOOR ST W","3","15","2022-10-17","82","Evaluation needs to be conducted in 2 years","17","4","4","3","5","5","4","N/A","3","N/A","4","4","5","5","4","4","3","4","4","5","N/A","W0322","43.6503199258","-79.4985552052","304900.862","4834263.452"
"1387",2395840,"4154901","2017",NA,"1967","PRIVATE","16","Don Valley East","235 BROOKBANKS DR","4","41","2022-10-17","91","Evaluation needs to be conducted in 3 years","18","4","4","5","5","5","5","4","5","4","N/A","4","4","5","5","4","5","5","4","5","N/A","N1625","43.760392359","-79.323756495","318975.435","4846507.812"
"1388",2395841,"4153931","2017",NA,"1957","PRIVATE","12","Toronto-St. Paul's","23 LASCELLES BLVD","18","235","2022-10-17","82","Evaluation needs to be conducted in 2 years","19","4","5","5","3","5","4","4","5","5","4","4","4","5","4","4","3","5","3","2","N/A","S1232","43.695475395","-79.39853936","312962.709","4839285.868"
"1389",2395842,"4153934","2017",NA,"1955","PRIVATE","12","Toronto-St. Paul's","130 ORIOLE PKWY","4","39","2022-10-17","81","Evaluation needs to be conducted in 2 years","17","5","5","5","4","4","3","N/A","4","N/A","5","4","4","5","3","3","2","5","4","4","N/A","S1226","43.6964637317","-79.4032380661","312584.097","4839394.264"
"1390",2395843,"4153936","2019",NA,"1938","PRIVATE","12","Toronto-St. Paul's","110 ORIOLE PKWY","4","33","2022-10-17","81","Evaluation needs to be conducted in 2 years","17","5","5","5","4","4","4","N/A","4","5","3","4","4","5","4","4","3","N/A","4","2","N/A","S1226","43.6959928836","-79.4029240111","312609.473","4839341.983"
"1391",2395844,"4156399","2017",NA,"1968","PRIVATE","16","Don Valley East","5 BROOKBANKS DR","15","124","2022-10-17","89","Evaluation needs to be conducted in 3 years","19","5","5","5","4","4","5","4","5","4","N/A","4","4","5","5","4","4","5","5","4","4","N1625","43.75125271","-79.332754959","318204.842","4845556.916"
"1392",2395845,"4152802","2017",NA,"1975","PRIVATE","24","Scarborough-Guildwood","3434 EGLINTON AVE E","17","214","2022-10-14","90","Evaluation needs to be conducted in 3 years","20","5","5","5","5","5","5","4","4","4","4","5","4","5","5","5","3","5","4","4","4","E2433","43.7456216056","-79.2112167788","328043.056","4844891.19"
"1393",2395846,"4152709","2017",NA,"1967","PRIVATE","21","Scarborough Centre","833 KENNEDY RD","7","54","2022-10-14","82","Evaluation needs to be conducted in 2 years","18","4","4","4","4","4","5","4","4","4","N/A","4","4","5","4","4","4","4","4","4","N/A","E2133","43.7363184014","-79.2689338549","323397.432","4843843.179"
"1394",2395847,"4152773","2017",NA,"1960","PRIVATE","21","Scarborough Centre","3201 LAWRENCE AVE E","13","123","2022-10-14","85","Evaluation needs to be conducted in 2 years","17","4","4","4","4","N/A","5","5","4","3","N/A","4","5","5","3","5","5","4","4","4","N/A","E2136","43.756000502","-79.240912837","325647.504","4846037.34"
"1395",2395848,"4156233","2017",NA,"1962","PRIVATE","16","Don Valley East","10 ROANOKE RD","12","101","2022-10-14","96","Evaluation needs to be conducted in 3 years","20","5","5","5","5","5","5","4","5","4","4","5","5","5","5","5","5","5","4","5","5","N1625","43.7414398255","-79.3292349773","318749.293","4844445.005"
"1396",2395849,"4153652","2018",NA,"1922","PRIVATE","14","Toronto-Danforth","796 CARLAW AVE","4","31","2022-10-14","77","Evaluation needs to be conducted in 2 years","13","4","4","5","4","N/A","4","N/A","3","N/A","N/A","4","4","5","4","3","3","N/A","3","N/A","N/A","S1425","43.678845919","-79.347817824","317054.646","4837444.582"
"1397",2395850,"4153962","2017",NA,"1941","TCHC","08","Eglinton-Lawrence","790 EGLINTON AVE W","4","57","2022-10-14","77","Evaluation needs to be conducted in 2 years","19","4","4","4","3","5","4","5","3","5","3","3","4","5","3","4","4","4","3","3","N/A","N0832","43.7016899071","-79.4236478607","310938.438","4839973.167"
"1398",2395851,"4153964","2017",NA,"1941","TCHC","08","Eglinton-Lawrence","840 EGLINTON AVE W","4","40","2022-10-14","67","Evaluation needs to be conducted in 2 years","19","4","4","4","2","3","3","4","3","5","3","3","3","5","3","3","3","3","3","3","N/A","N0832","43.7014864975","-79.4251602874","310816.559","4839950.457"
"1399",2395852,"4152692","2017",NA,"1972","PRIVATE","21","Scarborough Centre","1 ROSEMOUNT DR","9","110","2022-10-14","89","Evaluation needs to be conducted in 3 years","18","5","4","5","5","4","5","5","4","5","N/A","4","5","5","4","4","4","4","4","4","N/A","E2133","43.7315303371","-79.2739396307","322995.656","4843310.129"
"1400",2395853,"4154716","2017",NA,"1970","PRIVATE","18","Willowdale","5900 YONGE ST","13","233","2022-10-14","88","Evaluation needs to be conducted in 3 years","19","5","5","5","5","4","5","4","5","5","4","5","4","N/A","3","5","5","4","3","3","5","N1822","43.786291194","-79.417827386","311398.042","4849373.379"
"1401",2395854,"4154718","2017",NA,"1963","PRIVATE","18","Willowdale","6000 YONGE ST","18","265","2022-10-14","99","Evaluation needs to be conducted in 3 years","19","5","5","5","5","5","5","5","5","5","5","5","5","N/A","5","5","5","5","5","4","5","N1822","43.7883911434","-79.4180400688","311380.957","4849605.708"
"1402",2395855,"4152872","2017",NA,"1975","TCHC","22","Scarborough-Agincourt","3825 SHEPPARD AVE E","13","300","2022-10-14","83","Evaluation needs to be conducted in 2 years","18","5","4","5","4","5","3","3","3","3","N/A","4","5","5","4","5","4","4","4","5","N/A","E2232","43.7820250882","-79.291608709","321558.259","4848916.184"
"1403",2395856,"4154895","2017",NA,"1963","PRIVATE","16","Don Valley East","7 ROANOKE RD","9","113","2022-10-14","93","Evaluation needs to be conducted in 3 years","19","5","5","5","5","4","5","4","4","4","N/A","4","5","5","5","5","5","5","4","4","5","N1625","43.7408614769","-79.3286037917","318644.915","4844364.837"
"1404",2395857,"4156531","2017",NA,"1963","PRIVATE","16","Don Valley East","7-9 ROANOKE RD","9","113","2022-10-14","95","Evaluation needs to be conducted in 3 years","19","5","5","5","5","4","5","4","4","5","N/A","5","4","5","5","5","5","5","4","5","5","N1625",NA,NA,"318685.876","4844377.291"
"1405",2395858,"4154894","2017",NA,"1962","PRIVATE","16","Don Valley East","8 ROANOKE RD","13","111","2022-10-14","92","Evaluation needs to be conducted in 3 years","20","5","5","5","4","5","5","5","4","4","4","4","4","5","4","5","5","5","4","5","5","N1625","43.74157075","-79.328070218","318658.575","4844417.316"
"1406",2395859,"4156581","2017",NA,"1968","PRIVATE","18","Willowdale","6061 YONGE ST","19","304","2022-10-14","94","Evaluation needs to be conducted in 3 years","18","5","5","5","5","5","5","5","5","5","5","5","5","N/A","5","5","4","5","3","3","N/A","N1823","43.7902546466","-79.4177286327","311401.574","4849805.1"
"1407",2395860,"4154728","2017",NA,"1968","PRIVATE","18","Willowdale","6210 YONGE ST","7","83","2022-10-14","85","Evaluation needs to be conducted in 2 years","16","5","5","4","4","4","5","N/A","5","4","N/A","3","5","N/A","3","5","5","3","3","5","N/A","N1822","43.7939825101","-79.4198227886","311236.874","4850226.759"
"1408",2395861,"4152965","2017",NA,"1957","PRIVATE","04","Parkdale-High Park","130 TYNDALL AVE","5","37","2022-10-14","73","Evaluation needs to be conducted in 2 years","17","4","4","5","3","4","4","N/A","4","4","N/A","3","4","5","3","3","3","3","3","3","N/A","S0437","43.6378675818","-79.4294602213","310475.906","4832882.331"
"1409",2395862,"4153658","2017",NA,"1988","TCHC","14","Toronto-Danforth","1275 DANFORTH AVE","4","109","2022-10-14","77","Evaluation needs to be conducted in 2 years","18","4","4","5","4","4","4","3","4","4","N/A","4","4","4","4","4","3","4","3","3","N/A","S1432","43.6812355331","-79.3299329034","318496.368","4837711.867"
"1410",2395863,"4152655","2017",NA,"1959","PRIVATE","21","Scarborough Centre","1817 VICTORIA PARK AVE","4","36","2022-10-14","75","Evaluation needs to be conducted in 2 years","17","4","4","5","4","4","3","N/A","4","3","N/A","3","4","5","3","4","3","3","4","4","N/A","E2126","43.7433324856","-79.3097740889","320105.92","4844614.079"
"1411",2395864,"4153650","2017",NA,"1990","PRIVATE","14","Toronto-Danforth","768 PAPE AVE","3","15","2022-10-14","68","Evaluation needs to be conducted in 2 years","15","3","3","5","3","N/A","3","N/A","3","N/A","N/A","3","3","5","4","3","3","4","3","3","N/A","S1425","43.6810655936","-79.3460950974","317193.343","4837690.477"
"1412",2395865,"4152817","2017",NA,"1963","PRIVATE","24","Scarborough-Guildwood","70 STEVENVALE DR","6","100","2022-10-14","89","Evaluation needs to be conducted in 3 years","20","5","5","5","5","3","5","4","5","3","4","4","4","5","4","5","4","5","4","5","5","E2430","43.7589413888","-79.2213676768","327220.556","4846368.19"
"1413",2395866,"4152731","2017",NA,"1961","PRIVATE","21","Scarborough Centre","4 TREEWOOD ST","7","82","2022-10-14","72","Evaluation needs to be conducted in 2 years","19","3","4","5","3","3","4","3","3","3","3","3","4","5","3","4","4","3","4","4","N/A","E2129","43.7542817495","-79.2640565707","323784.661","4845839.897"
"1414",2395867,"4152698","2017",NA,"1960","PRIVATE","21","Scarborough Centre","806 KENNEDY RD","5","57","2022-10-14","80","Evaluation needs to be conducted in 2 years","18","5","4","5","5","4","5","3","3","4","N/A","4","5","5","3","3","3","3","4","4","N/A","E2133","43.7335331794","-79.2693313625","323366.283","4843533.667"
"1415",2395868,"4152818","2017",NA,"1962","PRIVATE","24","Scarborough-Guildwood","45 GREENCREST CRCT","6","100","2022-10-14","93","Evaluation needs to be conducted in 3 years","19","5","5","5","5","4","4","N/A","5","4","4","5","5","5","4","5","4","5","4","5","5","E2430","43.7587421","-79.2223171477","327144.177","4846345.796"
"1416",2395869,"4153014","2017",NA,"1930","PRIVATE","04","Parkdale-High Park","122 DOWLING AVE","5","27","2022-10-13","74","Evaluation needs to be conducted in 2 years","14","4","4","5","3","3","4","N/A","4","N/A","N/A","4","3","5","3","3","4","N/A","3","N/A","N/A","S0436","43.6367650301","-79.4389483513","309710.453","4832759.28"
"1417",2395870,"4153005","2017",NA,"1900","PRIVATE","04","Parkdale-High Park","1609 QUEEN ST W","3","41","2022-10-13","73","Evaluation needs to be conducted in 2 years","15","3","4","5","3","2","4","N/A","3","N/A","N/A","4","5","4","3","4","4","N/A","3","4","N/A","S0436","43.6387388333","-79.4444453098","309266.777","4832978.253"
"1418",2395871,"4153884","2017",NA,"1952","PRIVATE","12","Toronto-St. Paul's","565 AVENUE RD","12","63","2022-10-13","89","Evaluation needs to be conducted in 3 years","19","5","5","5","4","4","5","4","4","5","4","4","5","5","5","5","5","4","4","3","N/A","S1232","43.688177664","-79.401518522","312723.554","4838474.804"
"1419",2395872,"4231973","2017",NA,"1960","PRIVATE","06","York Centre","1 CANYON AVE","18","202","2022-10-13","89","Evaluation needs to be conducted in 3 years","19","5","5","4","4","5","4","5","4","5","3","4","5","5","5","4","4","5","5","4","N/A","N0624","43.7565096904","-79.4367503453","309877.805","4846062.436"
"1420",2395873,"4153008","2017",NA,"1900","PRIVATE","04","Parkdale-High Park","1504 KING ST W","3","15","2022-10-13","64","Evaluation needs to be conducted in 1 year","14","3","3","4","2","2","3","N/A","3","N/A","N/A","3","4","5","3","4","3","N/A","3","N/A","N/A","S0436","43.6366656568","-79.4404917741","309585.93","4832748.153"
"1421",2395874,"4154713","2017",NA,"1959","PRIVATE","18","Willowdale","4979 BATHURST ST","6","92","2022-10-13","94","Evaluation needs to be conducted in 3 years","17","5","5","5","5","5","5","5","5","4","N/A","5","5","N/A","3","5","5","5","3","5","N/A","N1822","43.775246245","-79.4428772024","309383.017","4848143.646"
"1422",2395875,"4154714","2017",NA,"1959","PRIVATE","18","Willowdale","4981 BATHURST ST","6","96","2022-10-13","92","Evaluation needs to be conducted in 3 years","17","5","5","5","5","5","5","4","4","4","N/A","5","5","N/A","3","5","5","5","3","5","N/A","N1822","43.7762507176","-79.4431391381","309361.856","4848255.225"
"1423",2395876,"4153010","2017",NA,"2010","SOCIAL HOUSING","04","Parkdale-High Park","194 DOWLING AVE","4","29","2022-10-12","79","Evaluation needs to be conducted in 2 years","17","4","4","5","3","4","4","4","3","4","N/A","4","5","5","3","3","4","N/A","4","N/A","4","S0436","43.6397760709","-79.4400112258","309624.458","4833093.725"
"1424",2395877,"4154892","2019",NA,"1966","PRIVATE","16","Don Valley East","74 CURLEW DR","4","112","2022-10-12","87","Evaluation needs to be conducted in 3 years","20","4","4","5","4","5","5","4","5","4","4","4","5","5","4","4","4","5","4","4","4","N1625","43.743508705","-79.31620178","319587.906","4844633.452"
"1425",2395878,"4153529","2017",NA,"1960","PRIVATE","13","Toronto Centre","105 ISABELLA ST","11","221","2022-10-12","68","Evaluation needs to be conducted in 2 years","17","4","4","5","3","4","5","N/A","3","3","N/A","3","2","3","3","2","4","4","4","2","N/A","S1322","43.668460296","-79.379959886","314464.668","4836286.561"
"1426",2395879,"4154896","2017",NA,"1961","PRIVATE","16","Don Valley East","60 UNDERHILL DR","4","57","2022-10-12","86","Evaluation needs to be conducted in 3 years","19","5","4","5","4","4","5","4","4","4","4","4","5","5","4","4","4","5","4","4","N/A","N1625","43.7454519682","-79.3263683748","318768.86","4844846.641"
"1427",2395880,"4155629","2017",NA,"1957","TCHC","08","Eglinton-Lawrence","3 OLD MEADOW LANE","4","30","2022-10-12","79","Evaluation needs to be conducted in 2 years","15","4","4","4","4","4","4","N/A","4","N/A","N/A","3","4","4","4","4","4","N/A","4","4","N/A","N0823","43.717989875","-79.444116728","309284.737","4841788.238"
